year,ps,fraser
1959,47573636.97,
1961,63585237.7,284
1963,77264412.26,144
1965,59167501.97,274
1967,37431604.17,308
1969,31796591.11,288
1971,71948800.08,274
1973,56995133.57,212
1975,29996510.22,320
1977,82643048.31,484
1979,74639522.76,341
1981,31574886.63,607
1983,86548390.51,557
1985,113401122.6,265
1987,92454311.17,436
1989,73917732.92,400
1991,76534838.9,686
1993,77697433.59,438
1995,90057930.79,279
1997,28223212.38,258
1999,79533632.65,219
2001,141797881.1,714
2003,122826895.4,419
2005,111136377,615
2007,154333633.3,497
2009,162275622.7,1062
2011,199954379.4,519
2013,202453339.1,
2015,159130076.8,
2017,49278955.01,
2019,211142420.9,
